organisasjonsnummer,navn,naeringskode,organisasjonsform,kommune,postnummer,poststed,antall_ansatte,overordnet_enhet,er_i_konsern,regnskapsaar,fra_dato,til_dato,regnskapstype,oppstillingsplan,sum_driftsinntekter,sum_driftskostnad,driftsresultat,sum_finansinntekter,sum_finanskostnad,ordinaert_resultat_foer_skatt,aarsresultat,sum_eiendeler,sum_anleggsmidler,sum_omloepsmidler,sum_egenkapital,sum_gjeld,sum_kortsiktig_gjeld,sum_langsiktig_gjeld,pdf_aar_tilgjengelig,hentet_dato
922957037,TELEMARK BILHANDEL AS,47.810,AS,SKIEN,3735,SKIEN,,,False,2020,2020-01-01,2020-12-31,SELSKAP,store,14998972.0,15048483.0,-49511.0,395.0,5687.0,-54803.0,-90317.0,2954234.0,92381.0,2861853.0,705161.0,2249074.0,2249074.0,0.0,2019|2020,2026-04-11
966297778,ØYVIND SNOPESTAD,47.810,ENK,INDRE ØSTFOLD,1852,MYSEN,,,False,2020,2020-01-01,2020-12-31,SELSKAP,store,371129.0,190105.0,181024.0,,,181024.0,181024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,2026-04-11
998945402,KALBACH TRADING,47.810,ENK,SANDEFJORD,3218,SANDEFJORD,,,False,2020,2020-01-01,2020-12-31,SELSKAP,store,269000.0,66188.0,202812.0,,,202812.0,202812.0,226228.0,5500.0,220728.0,226228.0,0.0,,0.0,2020,2026-04-12
