organisasjonsnummer,navn,naeringskode,organisasjonsform,kommune,postnummer,poststed,antall_ansatte,overordnet_enhet,er_i_konsern,regnskapsaar,fra_dato,til_dato,regnskapstype,oppstillingsplan,sum_driftsinntekter,sum_driftskostnad,driftsresultat,sum_finansinntekter,sum_finanskostnad,ordinaert_resultat_foer_skatt,aarsresultat,sum_eiendeler,sum_anleggsmidler,sum_omloepsmidler,sum_egenkapital,sum_gjeld,sum_kortsiktig_gjeld,sum_langsiktig_gjeld,pdf_aar_tilgjengelig,hentet_dato
822427782,ÅSANE AUTO SHIPPING INTERNATIONALE SEBAR MOHAMMED ELHABIB,47.810,ENK,BERGEN,5265,YTRE ARNA,,,False,2021,2021-01-01,2021-12-31,SELSKAP,store,1190278.0,1165390.0,24888.0,,,24888.0,24888.0,0.0,0.0,0.0,0.0,0.0,,0.0,2021,2026-04-11
924467215,PROFF AUTO AS,47.810,AS,DRAMMEN,3050,MJØNDALEN,,,False,2021,2021-01-01,2021-12-31,SELSKAP,store,11784849.0,14003851.0,-2219003.0,291.0,45591.0,-2264302.0,-2264302.0,5395903.0,846968.0,4548934.0,-2412024.0,7807926.0,2205045.0,5602882.0,2020|2021,2026-04-11
925925349,GJERDEVIK,47.810,ENK,SALANGEN,9350,SJØVEGAN,,,False,2021,2021-01-01,2021-12-31,SELSKAP,store,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2021,2026-04-11
