organisasjonsnummer,navn,naeringskode,organisasjonsform,kommune,postnummer,poststed,antall_ansatte,overordnet_enhet,er_i_konsern,regnskapsaar,fra_dato,til_dato,regnskapstype,oppstillingsplan,sum_driftsinntekter,sum_driftskostnad,driftsresultat,sum_finansinntekter,sum_finanskostnad,ordinaert_resultat_foer_skatt,aarsresultat,sum_eiendeler,sum_anleggsmidler,sum_omloepsmidler,sum_egenkapital,sum_gjeld,sum_kortsiktig_gjeld,sum_langsiktig_gjeld,pdf_aar_tilgjengelig,hentet_dato
820649532,ICARS AS,47.810,AS,ULLENSAKER,2050,JESSHEIM,,,False,2023,2023-01-01,2023-12-31,SELSKAP,store,33125.0,54000.0,-20875.0,0.0,,-20875.0,-20875.0,2267.0,0.0,2267.0,30000.0,337668.0,0.0,337668.0,2018|2019|2020|2021|2022|2023,2026-04-11
821404592,BILPLEIESENTERET TØNSBERG AS,47.810,AS,TØNSBERG,3173,VEAR,,,False,2023,2023-01-01,2023-12-31,SELSKAP,store,206687.0,289327.0,-82640.0,,,-82640.0,-82640.0,39093.0,16538.0,22555.0,-133737.0,172830.0,172830.0,0.0,2018|2019|2020|2021|2022|2023,2026-04-11
828540122,KJELÅS BIL AS,47.810,AS,TRONDHEIM,7035,TRONDHEIM,,,False,2023,2023-01-01,2023-12-31,SELSKAP,store,,,,,,0.0,0.0,30000.0,0.0,30000.0,30000.0,0.0,,0.0,2022|2023,2026-04-11
828847872,TECHMAN AS,47.810,AS,OSLO,0481,OSLO,,,False,2023,2023-01-01,2023-12-31,SELSKAP,store,372735.0,294199.0,78536.0,0.0,18120.0,60416.0,60416.0,411529.0,260333.0,151196.0,15639.0,395891.0,140862.0,255029.0,2022|2023,2026-04-11
831957042,ROGALAND BILFORHANDLER AS,47.810,AS,STAVANGER,4033,STAVANGER,,,False,2023,2023-01-01,2023-12-31,SELSKAP,store,758777.0,657924.0,100853.0,0.0,0.0,100853.0,78665.0,631187.0,0.0,631187.0,168665.0,462522.0,13522.0,449000.0,2023,2026-04-11
832487082,NORDISK MASKIN IMPORT AS,47.810,AS,EIDSVOLL,2092,MINNESUND,,,False,2023,2023-01-01,2023-12-31,SELSKAP,store,727376.0,712582.0,14794.0,1513.0,523.0,15784.0,12312.0,442482.0,0.0,442482.0,42312.0,400170.0,400170.0,0.0,2023,2026-04-11
880872222,WATHNE BILFORMIDLING,47.810,ENK,SANDNES,4318,SANDNES,,,False,2023,2023-01-01,2023-12-31,SELSKAP,store,12603126.0,11304391.0,1298735.0,,,1298735.0,1298735.0,868061.0,0.0,868061.0,865998.0,2064.0,2064.0,0.0,2023,2026-04-11
887733872,VANSE AUTOSERVICE KJETIL KRISTIANSEN,47.810,ENK,FARSUND,4560,VANSE,5,,False,2023,2023-01-01,2023-12-31,SELSKAP,store,9874521.0,8083623.0,1790898.0,,188789.0,1602109.0,1602109.0,4120973.0,3104678.0,1016295.0,977594.0,3143379.0,878445.0,2264934.0,2023,2026-04-11
911849631,ALENDALSGARASJEN TORBJØRN ALENDAL,47.810,ENK,KARMØY,5542,KARMSUND,,,False,2023,2023-01-01,2023-12-31,SELSKAP,store,5192570.0,5043817.0,148753.0,0.0,7360.0,141393.0,141393.0,437468.0,387773.0,49695.0,-285500.0,722968.0,728434.0,-5466.0,2023,2026-04-11
911997088,ARENA BIL OG BILPLEIE AS,47.810,AS,DRAMMEN,3045,DRAMMEN,,,False,2023,2023-01-01,2023-12-31,SELSKAP,store,326496.0,300870.0,25626.0,,174.0,25453.0,25453.0,928403.0,29500.0,898903.0,55453.0,872950.0,872950.0,0.0,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2026-04-11
912506509,NORWEGIAN CAR EXPORTS AS,47.810,AS,BÆRUM,1339,VØYENENGA,,,False,2023,2023-01-01,2023-12-31,SELSKAP,store,,7500.0,-7500.0,,,-7500.0,-7500.0,524.0,0.0,524.0,-172625.0,173149.0,36908.0,136241.0,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2026-04-11
915244211,VINJE BYGG AS,47.810,AS,VINJE,3864,RAULAND,,,False,2023,2023-01-01,2023-12-31,SELSKAP,store,29545509.0,32735318.0,-3189810.0,0.0,393348.0,-3583157.0,-3583157.0,9044629.0,158380.0,8886249.0,-1958886.0,11003515.0,9244436.0,1759078.0,2015|2016|2017|2018|2019|2020|2021|2022|2023,2026-04-11
915912478,TELLUS TRONDHEIM AS,47.810,AS,MELHUS,7224,MELHUS,,,False,2023,2023-01-01,2023-12-31,SELSKAP,store,216731238.0,228760664.0,-12029426.0,72819.0,4009845.0,-15966451.0,-16669465.0,70632414.0,5894013.0,64738401.0,2898849.0,67733564.0,65583564.0,2150000.0,2015|2016|2017|2018|2019|2020|2021|2022|2023,2026-04-11
