organisasjonsnummer,navn,naeringskode,organisasjonsform,kommune,postnummer,poststed,antall_ansatte,overordnet_enhet,er_i_konsern,regnskapsaar,fra_dato,til_dato,regnskapstype,oppstillingsplan,sum_driftsinntekter,sum_driftskostnad,driftsresultat,sum_finansinntekter,sum_finanskostnad,ordinaert_resultat_foer_skatt,aarsresultat,sum_eiendeler,sum_anleggsmidler,sum_omloepsmidler,sum_egenkapital,sum_gjeld,sum_kortsiktig_gjeld,sum_langsiktig_gjeld,pdf_aar_tilgjengelig,hentet_dato
912593827,MYRVANG SERVICE & TJENESTER,47.810,ENK,LARVIK,3220,SANDEFJORD,,,False,2017,2017-01-01,2017-12-31,SELSKAP,store,287829.0,85540.0,202289.0,62.0,149.0,202202.0,202202.0,242852.0,0.0,242852.0,354171.0,-111319.0,-111319.0,0.0,2013|2014|2015|2016|2017,2026-04-11
919531452,AUTOSALG FORUS ANS,47.810,ANS,STAVANGER,4031,STAVANGER,,,False,2017,2017-01-01,2017-12-31,SELSKAP,store,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,-2250.0,2250.0,2250.0,0.0,2017,2026-04-11
971094265,NORDISK MOTORSPORT AS,47.810,AS,SVALBARD,9170,LONGYEARBYEN,,,False,2017,2017-01-01,2017-12-31,SELSKAP,store,17000.0,39933.0,-22933.0,,46576.0,-69509.0,-69509.0,141004.0,0.0,141004.0,-1474673.0,1615677.0,398380.0,1217297.0,2011|2012|2014|2015|2016|2017,2026-04-11
