organisasjonsnummer,navn,naeringskode,organisasjonsform,kommune,postnummer,poststed,antall_ansatte,overordnet_enhet,er_i_konsern,regnskapsaar,fra_dato,til_dato,regnskapstype,oppstillingsplan,sum_driftsinntekter,sum_driftskostnad,driftsresultat,sum_finansinntekter,sum_finanskostnad,ordinaert_resultat_foer_skatt,aarsresultat,sum_eiendeler,sum_anleggsmidler,sum_omloepsmidler,sum_egenkapital,sum_gjeld,sum_kortsiktig_gjeld,sum_langsiktig_gjeld,pdf_aar_tilgjengelig,hentet_dato
916218753,BERTEL O STEEN AS,46.710,AS,LØRENSKOG,1461,LØRENSKOG,475,,True,2024,2024-01-01,2024-12-31,SELSKAP,store,8633542000.0,8822081000.0,-188539000.0,225384000.0,130498000.0,-93653000.0,-75658000.0,4551859000.0,2253680000.0,2298179000.0,1712830000.0,2839030000.0,2360700000.0,478330000.0,,2026-04-11
943733988,Harald A Møller AS,46.710,AS,OSLO,0884,OSLO,385,,True,2024,2024-01-01,2024-12-31,SELSKAP,store,17962429490.0,17205803665.0,756625825.0,196744640.0,29041092.0,924329374.0,751187050.0,3712103448.0,405282020.0,3306821428.0,551336344.0,3160767104.0,3120027417.0,40739686.0,,2026-04-11
812301292,CAR OUTLET NORWAY - ELECTRIC CITY AS,46.710,AS,LIER,3420,LIERSKOGEN,,,False,2024,2024-01-01,2024-12-31,SELSKAP,store,1350372.0,457375.0,892997.0,3823.0,324194.0,572626.0,446323.0,7795933.0,6766000.0,1029933.0,2937697.0,4858236.0,233170.0,4625066.0,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,2026-04-11
812589342,SENTRAL BIL AS,47.810,AS,LØRENSKOG,1472,FJELLHAMAR,7,,False,2024,2024-01-01,2024-12-31,SELSKAP,store,51914265.0,51486942.0,427323.0,560969.0,106644.0,881648.0,881648.0,22630401.0,8526195.0,14104206.0,16408015.0,6222386.0,1255879.0,4966507.0,2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,2026-04-11
812780212,SAVIOR AS,47.810,AS,SARPSBORG,1710,SARPSBORG,,,False,2024,2024-01-01,2024-12-31,SELSKAP,store,1850258.0,1967187.0,-116929.0,2760.0,1474.0,-115643.0,-115643.0,556852.0,0.0,556852.0,140830.0,416022.0,416022.0,0.0,2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,2026-04-11
812833472,NITHO FETSUND AS,47.810,AS,LILLESTRØM,1900,FETSUND,,,False,2024,2024-01-01,2024-12-31,SELSKAP,store,1560000.0,572493.0,987507.0,138.0,1027999.0,-40353.0,-31475.0,12577004.0,11994528.0,582477.0,151137.0,12425867.0,484454.0,11941413.0,2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,2026-04-11
813017792,VHØ HOLDING AS,47.810,AS,HAMAR,2322,RIDABU,,,False,2024,2024-01-01,2024-12-31,SELSKAP,store,,21764.0,-21764.0,21922.0,,159.0,159.0,2116990.0,432369.0,1684621.0,1960997.0,155994.0,155994.0,0.0,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,2026-04-11
813258722,SPORTSCAR AS,47.810,AS,DRAMMEN,3036,DRAMMEN,,,False,2024,2024-01-01,2024-12-31,SELSKAP,store,,12029.0,-12029.0,1.0,,-12028.0,-9382.0,135446.0,0.0,135446.0,27921.0,107525.0,107525.0,0.0,2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,2026-04-11
813270862,BILFORHANDLER1 AS,47.810,AS,OSLO,0580,OSLO,,,False,2024,2024-01-01,2024-12-31,SELSKAP,store,93222060.0,92074532.0,1147528.0,3349.0,317724.0,833153.0,649558.0,10245198.0,0.0,10245198.0,4120605.0,6124593.0,1164593.0,4960000.0,2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,2026-04-11
813302152,ARB INVEST AS,46.710,AS,NARVIK,8516,NARVIK,,,False,2024,2024-01-01,2024-12-31,SELSKAP,store,2085463.0,2241556.0,-156093.0,0.0,1344893.0,-1500986.0,-1470006.0,15902470.0,13620562.0,2281908.0,-879358.0,16781828.0,2240316.0,14541512.0,2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,2026-04-11
