Navn,OrgNr,NACE_kode,NACE_beskrivelse,aar,AntallAnsatte,driftsinntekter,driftskostnad,driftsresultat,%driftsmargin,finansinntekter,finanskostnader,nettofinans,%nettoFinansMargin,resultatFørSkatt,%resultatFørSkatt,aarsresultat,%aarsResultat,totalresultat,anleggsmidler,omlopsmidler,sumEiendeler,%ROA,innskuttEgenkapital,egenkapital,%ROE,%egenkapitalAndel,sumGjeld,%gjeldsgrad,%gearing,sumEgenkapitalGjeld,langsiktigGjeld,kortsiktigGjeld,%likviditetsgrad,omsetningPrAnsatt,HarRegnskap2023Og2024
0-100 BILVERKSTED AS,927444550,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,6487309,7101226,-613918,"-9,46 %",3163,5454,-2290,"-0,04 %",-616208,"-9,50 %",-616208,"-9,50 %",-616208,270900,1442112,1713012,"-35,97 %",1088337,-1476322,"41,74 %","-86,18 %",3189334,"-216,03 %","186,18 %",1713012,0,3189334,"45,22 %",1297462,1
1DEKKBUTIKK.NO AS,932853965,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,6,9524288,8986253,538035,"5,65 %",32731,71511,-38780,"-0,41 %",499254,"5,24 %",388579,"4,08 %",388579,1005996,2419651,3425647,"11,34 %",30000,410615,"94,63 %","11,99 %",3015032,"734,27 %","88,01 %",3425647,665984,2349048,"103,01 %",1587381,0
3D DETAILING & BILPLEIE AS,924520760,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,5065962,5160182,-94221,"-1,86 %",2163,33352,-31188,"-0,62 %",-125409,"-2,48 %",-125409,"-2,48 %",-125409,33655,475885,509540,"-24,61 %",224430,-481516,"26,04 %","-94,50 %",991055,"-205,82 %","194,50 %",509540,75000,916055,"51,95 %",506596,1
4DEKK AS,916690142,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,7158776,6639741,519035,"7,25 %",808,1191,-383,"-0,01 %",518652,"7,24 %",483506,"6,75 %",,443602,1586071,2029673,"23,82 %",30000,496111,"97,46 %","24,44 %",1533561,"309,12 %","75,56 %",2029672,474300,1059261,"149,73 %",1193129,0
5 STARS SERVICES AS,933582086,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,1826064,1637472,188592,"10,33 %",0,2514,-2514,"-0,14 %",186078,"10,19 %",156973,"8,60 %",,156535,335379,491914,"31,91 %",24216,181189,"86,63 %","36,83 %",310726,"171,49 %","63,17 %",491915,3802,306924,"109,27 %",365213,0
A AUTOPARK AS,919580526,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,66850826,61958257,4892569,"7,32 %",80340,114499,-34159,"-0,05 %",4858410,"7,27 %",3788908,"5,67 %",3788908,505820,8878990,9384810,"40,37 %",24430,3818908,"99,21 %","40,69 %",5565902,"145,75 %","59,31 %",9384810,3115761,2450140,"362,39 %",13370165,0
A/S SØRENSEN OG BALCHEN,916591144,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,85,668616628,523454924,145161704,"21,71 %",34876070,356990,34519080,"5,16 %",179680784,"26,87 %",140718368,"21,05 %",,251181214,366471718,617652932,"22,78 %",75920000,118754441,"118,50 %","19,23 %",498898491,"420,11 %","80,77 %",617652932,0,498898491,"73,46 %",7866078,1
AAGE VOLD AUTOSALG AS,912818179,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,16,88752917,87869778,883139,"1,00 %",2,748655,-748653,"-0,84 %",134486,"0,15 %",134486,"0,15 %",,961565,20626724,21588289,"0,62 %",100000,7548141,"1,78 %","34,96 %",14040148,"186,01 %","65,04 %",21588289,10883759,3156389,"653,49 %",5547057,1
AALESUND BILVERKSTED AS,933867927,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,837794,953862,-116068,"-13,85 %",1,186,-185,"-0,02 %",-116252,"-13,88 %",-116252,"-13,88 %",,501240,866172,1367411,"-8,50 %",594216,477964,"-24,32 %","34,95 %",889448,"186,09 %","65,05 %",1367412,492519,396929,"218,22 %",167559,0
AARHAUGS BILVERKSTED AS,982916704,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,8892795,8786775,106020,"1,19 %",7751,323295,-315544,"-3,55 %",-209524,"-2,36 %",-209524,"-2,36 %",,432837,3871758,4304595,"-4,87 %",151105,-489990,"42,76 %","-11,38 %",4794585,"-978,51 %","111,38 %",4304595,2907410,1887175,"205,16 %",988088,1
AARS AS,993853712,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,23,35000000,133000000,-98000000,"-280,00 %",1443000000,50000000,1393000000,"3980,00 %",1295000000,"3700,00 %",1246000000,"3560,00 %",,6124000000,7140000000,13264000000,"9,39 %",2735000000,11802000000,"10,56 %","88,98 %",1462000000,"12,39 %","11,02 %",13264000000,557000000,905000000,"788,95 %",1521739,1
AAS BILVERKSTED ERIKSEN AS,910045717,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,13028878,11064061,1964817,"15,08 %",63253,1654,61599,"0,47 %",2026416,"15,55 %",1570124,"12,05 %",,559438,4371903,4931341,"31,84 %",100000,1679586,"93,48 %","34,06 %",3251755,"193,60 %","65,94 %",4931341,0,3251755,"134,45 %",1628610,0
AASEN BIL AS,957129188,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,21,115419281,114691664,727618,"0,63 %",25120,713122,-688002,"-0,60 %",39615,"0,03 %",28681,"0,02 %",28681,4385383,28981453,33366837,"0,09 %",2864366,14526440,"0,20 %","43,54 %",18840396,"129,70 %","56,46 %",33366837,3234046,15606350,"185,70 %",5496156,1
AASEN BIL OG LANDBRUK AS,864346812,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,12,35395431,34965441,429990,"1,21 %",7560,411927,-404367,"-1,14 %",25622,"0,07 %",-40396,"-0,11 %",,975193,15427097,16402290,"-0,25 %",3540000,4502706,"-0,90 %","27,45 %",11899583,"264,28 %","72,55 %",16402289,4156029,7743554,"199,23 %",2949619,1
AASEN BILDEMONTERING AS,971096764,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,25,37284310,35599340,1684970,"4,52 %",48353,1119573,-1071220,"-2,87 %",613750,"1,65 %",477501,"1,28 %",477501,10373499,10349144,20722643,"2,30 %",145000,1145893,"41,67 %","5,53 %",19576750,"1708,43 %","94,47 %",20722643,14464702,5112048,"202,45 %",1491372,1
AASUM BIL AS,866754802,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,9129967,7917719,1212248,"13,28 %",143741,531,143209,"1,57 %",1355458,"14,85 %",1034501,"11,33 %",1034501,35000,6109196,6144196,"16,84 %",150000,4502839,"22,97 %","73,29 %",1641358,"36,45 %","26,71 %",6144196,0,1641358,"372,20 %",1521661,1
ABC BIL AS,931345206,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,6807986,6310620,497366,"7,31 %",9132,154,8978,"0,13 %",506344,"7,44 %",377700,"5,55 %",,520806,970470,1491276,"25,33 %",30000,486106,"77,70 %","32,60 %",1005171,"206,78 %","67,40 %",1491277,583257,421914,"230,02 %",972569,1
AB-MOTOR AS,929369009,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,12,40604566,40792393,-187827,"-0,46 %",2932,228875,-225943,"-0,56 %",-413770,"-1,02 %",-322741,"-0,79 %",-322741,1320915,11876608,13197523,"-2,45 %",3019430,3425084,"-9,42 %","25,95 %",9772438,"285,32 %","74,05 %",13197523,444348,9328090,"127,32 %",3383714,1
ABOBIL.NO AS,922798079,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",2024,21,110814968,104662241,6152726,"5,55 %",3326,914707,-911381,"-0,82 %",5241345,"4,73 %",4085428,"3,69 %",4085428,1283191,73910358,75193548,"5,43 %",15262000,49619708,"8,23 %","65,99 %",25573841,"51,54 %","34,01 %",75193548,290844,25282997,"292,33 %",5276903,0
ABSOLUTT LAKK & BILVERKSTED AS,927577135,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,2728262,3452206,-723943,"-26,53 %",0,4149,-4149,"-0,15 %",-728092,"-26,69 %",-696280,"-25,52 %",,114334,279945,394279,"-176,60 %",30000,-709078,"98,20 %","-179,84 %",1103357,"-155,60 %","279,84 %",394279,0,1103357,"25,37 %",545652,1
ADRETT AS,994080407,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,17,23165520,22009886,1155634,"4,99 %",599,48904,-48306,"-0,21 %",1107328,"4,78 %",861545,"3,72 %",861545,1145070,4334142,5479213,"15,72 %",440000,453925,"189,80 %","8,28 %",5025287,"1107,07 %","91,72 %",5479213,503,5024784,"86,26 %",1362678,0
ADSERØ BIL AS,914912725,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,17,190356489,188901493,1454996,"0,76 %",88561,784371,-695810,"-0,37 %",759186,"0,40 %",588753,"0,31 %",588753,2098677,20315391,22414068,"2,63 %",5584592,15947089,"3,69 %","71,15 %",6466979,"40,55 %","28,85 %",22414068,3802487,2664493,"762,45 %",11197441,1
ADSERØ BILVERKSTED AS,914526698,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,13,13470600,13164746,305855,"2,27 %",3156,101464,-98309,"-0,73 %",207546,"1,54 %",161751,"1,20 %",161751,2540344,2775180,5315524,"3,04 %",885583,1503048,"10,76 %","28,28 %",3812475,"253,65 %","71,72 %",5315523,1957799,1854675,"149,63 %",1036200,1
AE MOTOR & BILSERVICE AS,926551221,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,7931658,7358948,572710,"7,22 %",46547,26951,19596,"0,25 %",592306,"7,47 %",462505,"5,83 %",,113677,2420445,2534122,"18,25 %",30000,1387666,"33,33 %","54,76 %",1146456,"82,62 %","45,24 %",2534122,0,1146456,"211,12 %",1321943,0
AGDER AKTIV BILPLEIE AS,921228317,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,2608338,2235084,373254,"14,31 %",2768,48,2720,"0,10 %",375974,"14,41 %",293152,"11,24 %",,124488,842733,967221,"30,31 %",24430,454007,"64,57 %","46,94 %",513214,"113,04 %","53,06 %",967221,0,513214,"164,21 %",434723,1
AGDER BIL OG KAROSSERI AS,918512616,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,11,25820803,24146696,1674107,"6,48 %",24021,183242,-159221,"-0,62 %",1514886,"5,87 %",1171866,"4,54 %",1171866,1944732,8317559,10262291,"11,42 %",30000,3257741,"35,97 %","31,74 %",7004550,"215,01 %","68,26 %",10262291,3286229,3718321,"223,69 %",2347346,1
AGDER BILPLEIE AS,929186958,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,5033669,5039992,-6323,"-0,13 %",974,14197,-13223,"-0,26 %",-19545,"-0,39 %",-19545,"-0,39 %",-19545,11700,494302,506002,"-3,86 %",174430,-553215,"3,53 %","-109,33 %",1059217,"-191,47 %","209,33 %",506002,0,1059217,"46,67 %",559297,0
AGDER BILSKADE AS,932865823,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,24,38886202,36008713,2877489,"7,40 %",28553,3889,24664,"0,06 %",2902154,"7,46 %",2258142,"5,81 %",,3212216,9302311,12514527,"18,04 %",289800,1375602,"164,16 %","10,99 %",11138925,"809,75 %","89,01 %",12514527,35236,11103690,"83,78 %",1620258,1
AGDER KAROSSERI AS,913079221,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,21,26571055,24040766,2530289,"9,52 %",10045,58223,-48178,"-0,18 %",2482111,"9,34 %",1925323,"7,25 %",,737741,7637489,8375230,"22,99 %",488760,1619584,"118,88 %","19,34 %",6755647,"417,12 %","80,66 %",8375231,379187,6376460,"119,78 %",1265288,0
AGDER SKADE & LAKK AS,924560134,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,5632480,5198587,433893,"7,70 %",1202,4537,-3335,"-0,06 %",430558,"7,64 %",430558,"7,64 %",,177123,1898935,2076058,"20,74 %",30000,232764,"184,98 %","11,21 %",1843294,"791,92 %","88,79 %",2076058,741000,1102294,"172,27 %",1126496,1
AGDER SUPPLY AS,942440162,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,20,51383727,45595333,5788394,"11,27 %",517672,102892,414780,"0,81 %",6203174,"12,07 %",4827754,"9,40 %",,3557281,36688542,40245823,"12,00 %",1210000,27605647,"17,49 %","68,59 %",12640176,"45,79 %","31,41 %",40245823,0,12640176,"290,25 %",2569186,0
AIRSUSPENSION AS,917379610,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,17,28061583,27773621,287963,"1,03 %",36827,67272,-30445,"-0,11 %",257518,"0,92 %",177911,"0,63 %",177911,1252380,5470996,6723376,"2,65 %",30000,1524340,"11,67 %","22,67 %",5199036,"341,07 %","77,33 %",6723376,916664,4282372,"127,76 %",1650681,1
AJ BIL OG MOTOR AS,919666536,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,14268640,12866457,1402183,"9,83 %",144725,5872,138853,"0,97 %",1541036,"10,80 %",1192774,"8,36 %",,1045744,5516945,6562690,"18,18 %",30000,3539273,"33,70 %","53,93 %",3023417,"85,42 %","46,07 %",6562690,0,3023417,"182,47 %",1783580,1
AK BILSERVICE AS,934386450,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,,1855,-1855,,,,,,-1855,,-1855,,-1855,93500,19216,112716,"-1,65 %",16716,14861,"-12,48 %","13,18 %",97855,"658,47 %","86,82 %",112716,0,97855,"19,64 %",,0
AKERSHUS AUTO AS,987916095,45.111,"Agentur- og engroshandel med biler og lette motorvogner, unntatt motorsykler",2024,5,104095076,102825244,1269832,"1,22 %",395,1837917,-1837522,"-1,77 %",-567690,"-0,55 %",-537868,"-0,52 %",,3415932,40975889,44391821,"-1,21 %",5000000,7464204,"-7,21 %","16,81 %",36927617,"494,73 %","83,19 %",44391821,20193018,16734599,"244,86 %",20819015,0
AKERSHUS DEKK AS,989594400,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,9910258,8886837,1023421,"10,33 %",8887,97,8789,"0,09 %",1032210,"10,42 %",804318,"8,12 %",,584508,2575003,3159511,"25,46 %",100000,1764622,"45,58 %","55,85 %",1394890,"79,05 %","44,15 %",3159512,0,1394890,"184,60 %",1982052,0
AKSDAL BIL AS,997129237,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,16552055,14604545,1947510,"11,77 %",40009,133904,-93895,"-0,57 %",1853615,"11,20 %",1442844,"8,72 %",,552394,5581078,6133472,"23,52 %",987144,1160070,"124,38 %","18,91 %",4973402,"428,72 %","81,09 %",6133472,1489660,3483742,"160,20 %",2364579,0
ALBJERK BIL DRAMMEN AS,983222870,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,111,804803545,780109273,24694271,"3,07 %",637056,853280,-216224,"-0,03 %",24478048,"3,04 %",19086616,"2,37 %",19086616,14255821,117593361,131849181,"14,48 %",5686442,50274909,"37,96 %","38,13 %",81574272,"162,26 %","61,87 %",131849181,0,81574272,"144,15 %",7250482,1
ALBJERK BIL LIER AS,983222838,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,56,396069846,393701601,2368245,"0,60 %",288689,1846168,-1557479,"-0,39 %",810766,"0,20 %",621268,"0,16 %",621268,6416644,67796790,74213434,"0,84 %",8097994,30742749,"2,02 %","41,42 %",43470685,"141,40 %","58,58 %",74213434,0,43470685,"155,96 %",7072676,1
ALBJERK BIL RINGERIKE AS,817203752,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,48,395206266,388343130,6863136,"1,74 %",260040,1520365,-1260325,"-0,32 %",5602810,"1,42 %",4370359,"1,11 %",4370359,5198761,83451201,88649963,"4,93 %",600000,29043501,"15,05 %","32,76 %",59606461,"205,23 %","67,24 %",88649963,0,59606461,"140,00 %",8233464,1
ALEX AUTOSERVICE AS,990050244,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,14,22324363,19097354,3227009,"14,46 %",405,15256,-14850,"-0,07 %",3212158,"14,39 %",2436790,"10,92 %",2436790,536797,6094233,6631029,"36,75 %",100000,3285044,"74,18 %","49,54 %",3345985,"101,86 %","50,46 %",6631029,0,3345985,"182,14 %",1594597,1
ALF GRAARUD MOTOR AS,931778757,45.402,"Detaljhandel med motorsykler, deler og utstyr",2024,54,160513307,154342646,6170661,"3,84 %",716180,206232,509948,"0,32 %",6680609,"4,16 %",5207113,"3,24 %",,2087365,33568244,35655609,"14,60 %",120430,7125371,"73,08 %","19,98 %",28530238,"400,40 %","80,02 %",35655609,0,28530238,"117,66 %",2972469,1
ALFA BILVERKSTED AS,981440722,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,6583750,6656482,-72733,"-1,10 %",9454,887,8567,"0,13 %",-64166,"-0,97 %",-51424,"-0,78 %",-51423,285784,1224282,1510066,"-3,41 %",300000,906900,"-5,67 %","60,06 %",603166,"66,51 %","39,94 %",1510066,0,603166,"202,98 %",1097292,1
ALFA DEKK AS,925769371,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,21,64196211,59906223,4289988,"6,68 %",45464,138953,-93489,"-0,15 %",4196499,"6,54 %",3247399,"5,06 %",3247399,641487,23694313,24335801,"13,34 %",1000000,7544677,"43,04 %","31,00 %",16791124,"222,56 %","69,00 %",24335801,169567,16621557,"142,55 %",3056962,1
ALFA GLASS AS,998380006,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,331441,867125,-535684,"-161,62 %",,7810,-7810,"-2,36 %",-543494,"-163,98 %",-453329,"-136,78 %",,491069,-225573,265496,"-170,75 %",30000,-429162,"105,63 %","-161,65 %",694659,"-161,86 %","261,65 %",265497,0,694659,"-32,47 %",66288,1
ALFASET AUTO VERKSTED AS,962963897,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,10349033,10554741,-205707,"-1,99 %",99277,6526,92751,"0,90 %",-112957,"-1,09 %",-112957,"-1,09 %",,1527098,5233780,6760877,"-1,67 %",200000,5406165,"-2,09 %","79,96 %",1354712,"25,06 %","20,04 %",6760877,0,1354712,"386,34 %",1478433,1
ALFIE BILSKADE AS,992849975,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,25492838,23493247,1999591,"7,84 %",24298,24122,176,"0,00 %",1999767,"7,84 %",1554789,"6,10 %",1554789,839123,5639096,6478219,"24,00 %",1146970,1146970,"135,56 %","17,71 %",5331249,"464,81 %","82,29 %",6478219,0,5331249,"105,77 %",2549284,0
ALICO BILOMBYGGING AS,920202489,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,14131534,14218510,-86976,"-0,62 %",5609,189965,-184356,"-1,30 %",-271332,"-1,92 %",-211639,"-1,50 %",-211639,368117,3677971,4046088,"-5,23 %",533702,1157704,"-18,28 %","28,61 %",2888384,"249,49 %","71,39 %",4046088,289737,2598647,"141,53 %",2826307,0
ALLSUPERMOTO AS,915137423,45.402,"Detaljhandel med motorsykler, deler og utstyr",2024,8,31254352,29605278,1649074,"5,28 %",51235,473336,-422101,"-1,35 %",1226973,"3,93 %",1114288,"3,57 %",1114288,334029,14361276,14695304,"7,58 %",2173618,3401500,"32,76 %","23,15 %",11293804,"332,02 %","76,85 %",14695304,4806611,6487193,"221,38 %",3906794,1
ALMLI MEK AS,913327810,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,14471693,15128647,-656954,"-4,54 %",13874,141521,-127647,"-0,88 %",-784601,"-5,42 %",-784601,"-5,42 %",,804149,3145453,3949602,"-19,87 %",939095,-455244,"172,35 %","-11,53 %",4404846,"-967,58 %","111,53 %",3949602,1816663,2588183,"121,53 %",1607966,1
ALTA AUTOSERVICE AS,918752838,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,6032103,5932233,99870,"1,66 %",10503,7581,2923,"0,05 %",102793,"1,70 %",46419,"0,77 %",,91507,915103,1006610,"4,61 %",200000,209133,"22,20 %","20,78 %",797478,"381,33 %","79,22 %",1006610,0,797478,"114,75 %",1206421,0
ALTA BILLAKKERING AS,944601309,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,22,55078605,49806547,5272058,"9,57 %",76574,47425,29149,"0,05 %",5301207,"9,62 %",4133743,"7,51 %",,3499774,40186165,43685939,"9,46 %",100000,36003844,"11,48 %","82,42 %",7682095,"21,34 %","17,58 %",43685939,0,7682095,"523,11 %",2503573,1
ALTA CARAVAN AS,991172130,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",2024,15,41665782,39989604,1676178,"4,02 %",10808,2475937,-2465129,"-5,92 %",-788950,"-1,89 %",-615381,"-1,48 %",-615381,17265142,21085258,38350400,"-1,60 %",603000,1832416,"-33,58 %","4,78 %",36517984,"1992,89 %","95,22 %",38350400,33628551,2889433,"729,74 %",2777719,1
ALTA MOTORSENTER AS,967960217,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,56,317998001,317603743,394258,"0,12 %",135425,2748232,-2612807,"-0,82 %",-2218550,"-0,70 %",-1744542,"-0,55 %",,20653855,101126591,121780446,"-1,43 %",1500000,33164606,"-5,26 %","27,23 %",88615840,"267,20 %","72,77 %",121780446,18919012,69696828,"145,09 %",5678536,1
ALTIBIL AS,919042419,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,18055248,20750822,-2695575,"-14,93 %",3765,152922,-149157,"-0,83 %",-2844732,"-15,76 %",-2954615,"-16,36 %",-2954615,1154554,3528043,4682597,"-63,10 %",2030000,3911947,"-75,53 %","83,54 %",770649,"19,70 %","16,46 %",4682597,109883,660766,"533,93 %",3611050,0
ALTOMBIL AS,997275764,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,5866138,4711757,1154381,"19,68 %",21358,12476,8882,"0,15 %",1163263,"19,83 %",944998,"16,11 %",,405742,2356926,2762668,"34,21 %",110000,2231376,"42,35 %","80,77 %",531292,"23,81 %","19,23 %",2762668,0,531292,"443,62 %",977690,1
ALVERSUND AUTO AS,892277672,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,17371652,15680196,1691456,"9,74 %",21326,7090,14237,"0,08 %",1705693,"9,82 %",1327458,"7,64 %",1327458,1046000,3924457,4970457,"26,71 %",150000,990523,"134,02 %","19,93 %",3979934,"401,80 %","80,07 %",4970457,75289,3904645,"100,51 %",2171457,0
AMD MOTOR SYKLER AS,977102510,45.402,"Detaljhandel med motorsykler, deler og utstyr",2024,12,54310403,52466518,1843885,"3,40 %",13540,1048501,-1034961,"-1,91 %",808924,"1,49 %",633214,"1,17 %",633214,1377189,35058203,36435392,"1,74 %",1066600,11689975,"5,42 %","32,08 %",24745418,"211,68 %","67,92 %",36435392,3971774,20773643,"168,76 %",4525867,1
AMERIKANSKE BILDELER AS,987665351,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,5,12323918,11810278,513640,"4,17 %",128543,74094,54449,"0,44 %",568088,"4,61 %",443109,"3,60 %",,1391904,5256862,6648766,"6,66 %",100000,5770565,"7,68 %","86,79 %",878201,"15,22 %","13,21 %",6648766,37215,840986,"625,08 %",2464784,1
AMS MOTORSYKKELSENTERET AS,963494122,45.402,"Detaljhandel med motorsykler, deler og utstyr",2024,16,33037733,32821139,216594,"0,66 %",38956,359907,-320951,"-0,97 %",-104357,"-0,32 %",-83514,"-0,25 %",-83514,2409462,16328034,18737496,"-0,45 %",850000,8657099,"-0,96 %","46,20 %",10080398,"116,44 %","53,80 %",18737496,1109375,8971023,"182,01 %",2064858,1
ANDERS LANGÅS AS,947612018,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,6,11837995,12066122,-228127,"-1,93 %",7902,81984,-74082,"-0,63 %",-302209,"-2,55 %",-235820,"-1,99 %",,76255,4088916,4165171,"-5,66 %",100000,846108,"-27,87 %","20,31 %",3319063,"392,27 %","79,69 %",4165171,708193,2610870,"156,61 %",1972999,1
ANDERSEN BIL OG BILSKADE AS,999641199,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,7571922,7084649,487274,"6,44 %",2486,2621,-134,"-0,00 %",487139,"6,43 %",363606,"4,80 %",363606,66960,2470743,2537703,"14,33 %",200100,1144513,"31,77 %","45,10 %",1393190,"121,73 %","54,90 %",2537703,0,1393190,"177,34 %",1514384,1
ANDERSEN LAKK OG KAROSSERI AS,990513309,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,15,25578355,24759387,818968,"3,20 %",30921,11085,19836,"0,08 %",838804,"3,28 %",658843,"2,58 %",,0,5908622,5908622,"11,15 %",40050,2005030,"32,86 %","33,93 %",3903591,"194,69 %","66,07 %",5908621,0,3903591,"151,36 %",1705224,0
ANDR. L. RIIS AS,938536562,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,20,55775082,47990534,7784548,"13,96 %",76763973,3297687,73466286,"131,72 %",81250834,"145,68 %",64518551,"115,68 %",,147660708,180366711,328027419,"19,67 %",27000000,204481985,"31,55 %","62,34 %",123545434,"60,42 %","37,66 %",328027419,9293083,114252351,"157,87 %",2788754,1
ANDRÉ-DEKK AS,983559123,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,13,14441856,12915611,1526245,"10,57 %",91194,1747,89447,"0,62 %",1615692,"11,19 %",1278357,"8,85 %",1278357,1845163,7200960,9046123,"14,13 %",100000,6732923,"18,99 %","74,43 %",2313200,"34,36 %","25,57 %",9046123,9800,2303400,"312,62 %",1110912,0
ANDRESEN BIL AS,911749963,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,70,480242837,478008297,2234540,"0,47 %",108351,2040717,-1932366,"-0,40 %",302174,"0,06 %",229140,"0,05 %",229140,9895562,133714886,143610449,"0,16 %",4883200,38134905,"0,60 %","26,55 %",105475544,"276,59 %","73,45 %",143610449,11271719,94203825,"141,94 %",6860612,1
ANDRESEN KAROSSERI AS,930887137,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,27,53204958,56691183,-3486225,"-6,55 %",2477,1777,701,"0,00 %",-3485524,"-6,55 %",-2718709,"-5,11 %",-2718709,5917529,10610964,16528493,"-16,45 %",30000,-3003261,"90,53 %","-18,17 %",19531754,"-650,35 %","118,17 %",16528493,0,19531754,"54,33 %",1970554,1
ANKA AUTO AS,918837876,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,43113320,42031954,1081366,"2,51 %",1552,44629,-43077,"-0,10 %",1038289,"2,41 %",674786,"1,57 %",674786,0,3062745,3062745,"22,03 %",30000,2271193,"29,71 %","74,16 %",791552,"34,85 %","25,84 %",3062745,0,791552,"386,93 %",8622664,1
ANKER AS,859025552,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,5,3516284,4457441,-941157,"-26,77 %",1018920,520,1018400,"28,96 %",77243,"2,20 %",80151,"2,28 %",,7409587,3471363,10880950,"0,74 %",1359000,8557213,"0,94 %","78,64 %",2323738,"27,16 %","21,36 %",10880951,668676,1655062,"209,74 %",703257,1
