Navn,OrgNr,NACE_kode,NACE_beskrivelse,aar,AntallAnsatte,driftsinntekter,driftskostnad,driftsresultat,%driftsmargin,finansinntekter,finanskostnader,nettofinans,%nettoFinansMargin,resultatFørSkatt,%resultatFørSkatt,aarsresultat,%aarsResultat,totalresultat,anleggsmidler,omlopsmidler,sumEiendeler,%ROA,innskuttEgenkapital,egenkapital,%ROE,%egenkapitalAndel,sumGjeld,%gjeldsgrad,%gearing,sumEgenkapitalGjeld,langsiktigGjeld,kortsiktigGjeld,%likviditetsgrad,omsetningPrAnsatt,HarRegnskap2023Og2024
KNUTSEN AUTO SERVICE AS,997504852,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,18352245,14441799,3910446,"21,31 %",523894,5590,518304,"2,82 %",4428750,"24,13 %",3474003,"18,93 %",3474003,751692,16347150,17098842,"20,32 %",200000,11467067,"30,30 %","67,06 %",5631774,"49,11 %","32,94 %",17098842,0,5631774,"290,27 %",2039138,1
KOKSTAD AUTOSENTER AS,911577313,45.111,"Agentur- og engroshandel med biler og lette motorvogner, unntatt motorsykler",2024,21,125510835,120325017,5185818,"4,13 %",20719,2260734,-2240014,"-1,78 %",2945803,"2,35 %",2286888,"1,82 %",2286888,2288928,42045611,44334539,"5,16 %",960000,6835482,"33,46 %","15,42 %",37499058,"548,59 %","84,58 %",44334539,0,37499058,"112,12 %",5976706,1
KOKSTAD BILPLEIE SPESIALISTEN AS,931895168,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,7523987,7677723,-153736,"-2,04 %",1192,108322,-107130,"-1,42 %",-260866,"-3,47 %",-258135,"-3,43 %",-258135,491464,1552044,2043508,"-12,63 %",30000,-218450,"118,17 %","-10,69 %",2261958,"-1035,46 %","110,69 %",2043508,1083395,1178563,"131,69 %",752399,1
KOKSTAD BILVERKSTED AS,987727780,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,11,14961637,14329104,632533,"4,23 %",176748,884891,-708143,"-4,73 %",-75610,"-0,51 %",-65570,"-0,44 %",-65570,8981337,1085121,10066458,"-0,65 %",100500,2595286,"-2,53 %","25,78 %",7471172,"287,87 %","74,22 %",10066458,4541296,2929876,"37,04 %",1360149,1
KOLBERG CASPARY LAUTOM AS,913492307,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,52,221868079,220353728,1514351,"0,68 %",2441085,3162494,-721409,"-0,33 %",792942,"0,36 %",650292,"0,29 %",650292,30380521,108807467,139187988,"0,47 %",32849029,74552491,"0,87 %","53,56 %",64635497,"86,70 %","46,44 %",139187988,10000000,54635497,"199,15 %",4266694,1
KOLBU BILSERVICE AS,992221518,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,12923659,12346479,577180,"4,47 %",14256,49780,-35524,"-0,27 %",541656,"4,19 %",421837,"3,26 %",,3853253,1549032,5402285,"7,81 %",100000,2058789,"20,49 %","38,11 %",3343496,"162,40 %","61,89 %",5402285,564656,2778840,"55,74 %",2153943,1
KOLLSTAD LAKK & SANDBLÅSING AS,997104331,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,11,12036821,12245226,-208404,"-1,73 %",0,0,24084,"0,20 %",-184320,"-1,53 %",-147747,"-1,23 %",-147747,456508,3431251,3887759,"-3,80 %",360000,2156191,"-6,85 %","55,46 %",1731568,"80,31 %","44,54 %",3887759,0,1731568,"198,16 %",1094256,0
KOMPLETT BILSERVICE AS,914524113,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,7210738,5875623,1335115,"18,52 %",14123,6436,7687,"0,11 %",1342802,"18,62 %",1045580,"14,50 %",,559400,2214781,2774181,"37,69 %",30000,383171,"272,88 %","13,81 %",2391010,"624,01 %","86,19 %",2774181,27410,2363600,"93,70 %",1201790,0
KONGSBERG BILPLEIESENTER AS,914750075,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,15,4137442,3673362,464080,"11,22 %",123,95162,-95039,"-2,30 %",369041,"8,92 %",283664,"6,86 %",,124442,1103732,1228174,"23,10 %",30000,31022,"914,40 %","2,53 %",1197152,"3859,04 %","97,47 %",1228174,495895,701257,"157,39 %",275829,1
KONGSBERG BILSKADE AS,984936702,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,21,54159422,49180090,4979331,"9,19 %",109134,10614,98520,"0,18 %",5077851,"9,38 %",3959663,"7,31 %",3959663,1233567,14341219,15574786,"25,42 %",1200000,3665986,"108,01 %","23,54 %",11908800,"324,85 %","76,46 %",15574786,8609,11900191,"120,51 %",2579020,1
KONGSVINGER BILSENTER AS,913112083,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,22,135328031,132516442,2811589,"2,08 %",383068,1004944,-621876,"-0,46 %",2189712,"1,62 %",1710539,"1,26 %",1710539,8771115,31162595,39933710,"4,28 %",4858896,19684482,"8,69 %","49,29 %",20249228,"102,87 %","50,71 %",39933710,4856250,15392978,"202,45 %",6151274,1
KONNERUD BILSHINE AS,932882914,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,2163053,2078700,84353,"3,90 %",0,0,0,"0,00 %",84353,"3,90 %",65795,"3,04 %",,149139,178034,327173,"20,11 %",30000,95795,"68,68 %","29,28 %",231378,"241,53 %","70,72 %",327173,1010,230368,"77,28 %",309008,0
KOPERVIK AUTO AS,938234973,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,12291944,10157222,2134722,"17,37 %",127999,3016,124983,"1,02 %",2259705,"18,38 %",1762057,"14,34 %",,886572,5337958,6224529,"28,31 %",100000,1993824,"88,38 %","32,03 %",4230706,"212,19 %","67,97 %",6224530,0,4230706,"126,17 %",2048657,0
KOPERVIK BIL AS,913976002,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,10622990,10950455,-327465,"-3,08 %",7311,26884,-19573,"-0,18 %",-347038,"-3,27 %",-347038,"-3,27 %",,81000,2114161,2195161,"-15,81 %",100000,1341464,"-25,87 %","61,11 %",853697,"63,64 %","38,89 %",2195161,0,853697,"247,65 %",2124598,0
KOPPANG AUTO AS,932412063,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,12,16452484,14746802,1705682,"10,37 %",167854,176903,-9049,"-0,06 %",1696633,"10,31 %",1322930,"8,04 %",1322930,3638651,7273924,10912575,"12,12 %",50000,5729173,"23,09 %","52,50 %",5183402,"90,47 %","47,50 %",10912575,1867913,3315489,"219,39 %",1371040,1
KORSVIK BILVERKSTED AS,987818468,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,11256578,10349441,907137,"8,06 %",2090,41879,-39789,"-0,35 %",867348,"7,71 %",703715,"6,25 %",703715,1441700,1821830,3263530,"21,56 %",100000,634694,"110,87 %","19,45 %",2628836,"414,19 %","80,55 %",3263530,896078,1732758,"105,14 %",1125658,0
KPK SERVICE AS,924791829,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,2334133,2383882,-49749,"-2,13 %",99,21792,-21693,"-0,93 %",-71443,"-3,06 %",-71443,"-3,06 %",,258874,105416,364289,"-19,61 %",35000,-154668,"46,19 %","-42,46 %",518958,"-335,53 %","142,46 %",364290,235641,283317,"37,21 %",389022,1
KR REPSETH AUTO AS,979944497,47.300,Detaljhandel med drivstoff til motorvogner,2024,25,51952612,48535317,3417295,"6,58 %",311833,1880,309953,"0,60 %",3727249,"7,17 %",2908506,"5,60 %",2908506,11862657,14190661,26053319,"11,16 %",200000,21170395,"13,74 %","81,26 %",4882923,"23,06 %","18,74 %",26053319,617634,4265289,"332,70 %",2078104,1
KRABYSKOGEN STORBILSENTER AS,982771250,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,25,31281577,30636102,645475,"2,06 %",35484,81307,-45823,"-0,15 %",599652,"1,92 %",454980,"1,45 %",,570100,10083267,10653367,"4,27 %",800000,4457311,"10,21 %","41,84 %",6196056,"139,01 %","58,16 %",10653367,0,6196056,"162,74 %",1251263,1
KRAGERØ AUTO AS,916785887,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,17,61583277,59010303,2572974,"4,18 %",14836,577150,-562315,"-0,91 %",2010659,"3,26 %",1565881,"2,54 %",1565881,1219564,11376429,12595993,"12,43 %",5732787,7275667,"21,52 %","57,76 %",5320326,"73,12 %","42,24 %",12595993,2627691,2692635,"422,50 %",3622546,1
KRISTIANSAND AUTO CARE AS,916545142,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,5790863,4710678,1080185,"18,65 %",2638,1568,1070,"0,02 %",1081254,"18,67 %",847707,"14,64 %",,250000,1568941,1818941,"46,60 %",20930,896731,"94,53 %","49,30 %",922210,"102,84 %","50,70 %",1818941,0,922210,"170,13 %",723858,0
KRISTIANSAND BILVERKSTED AS,990693811,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,15148901,13337701,1811200,"11,96 %",15111,1660,13452,"0,09 %",1824651,"12,04 %",1423125,"9,39 %",1423125,494660,6966288,7460948,"19,07 %",100000,3376402,"42,15 %","45,25 %",4084546,"120,97 %","54,75 %",7460948,0,4084546,"170,55 %",1893613,0
KRISTIANSAND VAREBILSENTER AS,992157526,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,6,26543316,24062343,2480973,"9,35 %",701600,176283,525316,"1,98 %",3006289,"11,33 %",2494178,"9,40 %",,5477957,8736573,14214530,"17,55 %",101000,7988395,"31,22 %","56,20 %",6226136,"77,94 %","43,80 %",14214531,2527056,3699080,"236,18 %",4423886,0
KRISTIANSUND KAROSSERI AS,985890552,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,12,17620554,21534912,-3914358,"-22,21 %",48351,320877,-272526,"-1,55 %",-4186885,"-23,76 %",-3265549,"-18,53 %",-3265549,2276514,9295991,11572505,"-28,22 %",8413662,8413662,"-38,81 %","72,70 %",3158843,"37,54 %","27,30 %",11572505,386046,2772797,"335,26 %",1468380,1
KRISTOFFERSEN BIL AS,977188202,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,20,88571340,85691531,2879809,"3,25 %",473116,176777,296338,"0,33 %",3176148,"3,59 %",2527535,"2,85 %",2527535,12169229,18341557,30510786,"8,28 %",200000,24900557,"10,15 %","81,61 %",5610229,"22,53 %","18,39 %",30510786,0,5610229,"326,93 %",4428567,1
KROGEN BIL AS,913814045,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,7,8455022,8171503,283519,"3,35 %",82,29907,-29825,"-0,35 %",253693,"3,00 %",186477,"2,21 %",186477,219935,1382888,1602823,"11,63 %",500000,1002377,"18,60 %","62,54 %",600446,"59,90 %","37,46 %",1602823,0,600446,"230,31 %",1207860,1
