organisasjonsnummer,navn,antall_ansatte,regnskapsaar,sum_driftsinntekter,sum_driftskostnad,driftsresultat,sum_finansinntekter,sum_finanskostnad,nettofinans,ordinaert_resultat_foer_skatt,aarsresultat,totalresultat,sum_anleggsmidler,sum_omloepsmidler,sum_eiendeler,innskutt_egenkapital,sum_egenkapital,sum_gjeld,sum_egenkapital_gjeld,sum_langsiktig_gjeld,sum_kortsiktig_gjeld
971096764,AASEN BILDEMONTERING AS,24,2025,35298432.0,34271479.0,1026953.0,9164.0,1010974.0,-1001810.0,25143.0,16000.0,16000.0,10146688.0,10242087.0,20388775.0,145000.0,1161893.0,19226882.0,20388775.0,14259103.0,4967779.0
975779955,FLORØ BIL & HAVNESERVICE AS,8,2025,67477187.0,63434958.0,4042230.0,371238.0,2779.0,368459.0,4410689.0,3439928.0,3439928.0,566958.0,9700212.0,10267170.0,100000.0,3554805.0,6712365.0,10267170.0,,6712365.0
997764838,GUNDERSEN BILSERVICE AS,5,2025,14737621.0,15607380.0,-869759.0,44615.0,185497.0,-140882.0,-1010641.0,-788195.0,,299301.0,2819882.0,3119183.0,1839000.0,710579.0,2408604.0,3119183.0,,1581782.0
997843762,HAMMERÅS & SØNN BILVERKSTED AS,8,2025,8330547.0,6808654.0,1521892.0,136076.0,0.0,136076.0,1657969.0,1292714.0,,264904.0,4286830.0,4551734.0,30000.0,2394656.0,2157078.0,4551734.0,,2157078.0
924722991,SENJA CARAVAN AS,12,2025,37879315.0,36657948.0,1221367.0,44132.0,1190607.0,-1146475.0,74892.0,74892.0,74892.0,3374423.0,15116648.0,18491071.0,200000.0,1143383.0,17347688.0,18491071.0,3906894.0,13440794.0
920568076,SKÅLA AUTO AS,5,2025,10362878.0,10224357.0,138520.0,4538.0,1004.0,3534.0,142054.0,114396.0,,706934.0,2688914.0,3395848.0,100000.0,1999791.0,1396057.0,3395848.0,,1375399.0
997091973,JOHANSSONS AUTO AS,9,2025,19433659.0,14941302.0,4492357.0,203069.0,10422.0,192647.0,4685004.0,3651570.0,3651570.0,1095902.0,8863218.0,9959120.0,100000.0,5305111.0,4654009.0,9959120.0,,4654009.0
919134631,AUTO HOME BILPLEIE AS,,2025,4558678.0,4101223.0,457454.0,5161.0,29739.0,-24578.0,432876.0,298306.0,298306.0,622735.0,2485532.0,3108267.0,30000.0,2465657.0,642610.0,3108267.0,,642610.0
824234272,OPSAL AUTOHUS AS,6,2025,7202534.0,6841372.0,361162.0,77739.0,294.0,77445.0,438607.0,329678.0,,666689.0,4007337.0,4674027.0,100000.0,2837036.0,1836991.0,4674027.0,,1792922.0
925797472,AUTOFRESH TEAM AS,16,2025,5351423.0,5303463.0,47960.0,11606.0,5060.0,6546.0,54505.0,54505.0,54505.0,,1080121.0,1080121.0,30000.0,-219477.0,1299598.0,1080121.0,,1299598.0
