organisasjonsnummer,navn,naeringskode,naeringsbeskrivelse,organisasjonsform,kommunenavn,postnummer,poststed,konkurs,under_avvikling,regnskapsaar,fra_dato,til_dato,regnskapstype,oppstillingsplan,sum_driftsinntekter,sum_driftskostnad,driftsresultat,sum_finansinntekter,sum_finanskostnad,ordinaert_resultat_foer_skatt,aarsresultat,sum_eiendeler,sum_anleggsmidler,sum_omloepsmidler,sum_egenkapital,sum_gjeld,sum_kortsiktig_gjeld,sum_langsiktig_gjeld
925692468,STOKKER NORDIC NUF,47.810,Detaljhandel med motorvogner,NUF,GJERDRUM,2022,GJERDRUM,False,False,,,,,,,,,,,,,,,,,,,
917423830,STOR-OSLO BRUKTBIL AS,47.810,Detaljhandel med motorvogner,AS,ASKER,1396,BILLINGSTAD,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,395175548.0,407274107.0,-12098560.0,2819242.0,7833419.0,-17112737.0,-17112737.0,137982632.0,3314196.0,134668435.0,3735957.0,134246675.0,132805197.0,1441478.0
934610571,STOR-OSLO MOBILITY HOLDING AS,47.810,Detaljhandel med motorvogner,AS,OSLO,0579,OSLO,False,False,2024,2024-11-13,2024-12-31,SELSKAP,store,,,,52380629.0,,52380629.0,40858163.0,209159847.0,156779218.0,52380629.0,170862009.0,38297838.0,38297838.0,0.0
927648229,STORENG'S BILER,47.810,Detaljhandel med motorvogner,ENK,STEINKJER,7711,STEINKJER,False,False,,,,,,,,,,,,,,,,,,,
927418231,STORGATA BRUKTBIL SALG AS,47.810,Detaljhandel med motorvogner,AS,RINGSAKER,2390,MOELV,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,14199115.0,14726728.0,-527613.0,2821.0,281745.0,-806537.0,-954506.0,4158335.0,485067.0,3673268.0,-197903.0,4356239.0,1441251.0,2914988.0
929455975,STORHAMAR AUTO AS,95.310,Reparasjon og vedlikehold av motorvogner,AS,HAMAR,2316,HAMAR,False,False,2025,2025-01-01,2025-12-31,SELSKAP,store,10793267.0,10842842.0,-49576.0,2581.0,72269.0,-119263.0,-119263.0,1004492.0,236338.0,768154.0,-1165417.0,2169909.0,1884608.0,285302.0
925787779,STORHAMAR BIL AS,47.810,Detaljhandel med motorvogner,AS,HAMAR,2316,HAMAR,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,16057695.0,16054157.0,3538.0,28.0,836.0,2730.0,-10119.0,637633.0,41069.0,596565.0,-14625.0,652258.0,652258.0,0.0
918859055,STORM AUTO AS,47.810,Detaljhandel med motorvogner,AS,OSLO,0975,OSLO,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,19103329.0,19248749.0,-145420.0,-145.0,311545.0,-457111.0,-457111.0,4087389.0,55892.0,4031497.0,-209670.0,4297059.0,802907.0,3494152.0
919087129,STORPARTNER HOLDING AS,47.810,Detaljhandel med motorvogner,AS,STAVANGER,4029,STAVANGER,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,,-28465.0,28465.0,74751.0,333.0,102884.0,102884.0,418275.0,74352.0,343923.0,73825.0,344450.0,16450.0,328000.0
928637247,STORSLETTEN UTLEIE,47.810,Detaljhandel med motorvogner,ENK,BARDU,9360,BARDU,False,False,,,,,,,,,,,,,,,,,,,
831996862,STORSVE AUTO AS,47.810,Detaljhandel med motorvogner,AS,TRONDHEIM,7053,RANHEIM,False,False,2025,2025-01-01,2025-12-31,SELSKAP,store,254178.0,258950.0,-4772.0,0.0,614.0,-5386.0,-5387.0,168011.0,0.0,168011.0,168011.0,0.0,0.0,0.0
989099019,STORØ INVEST AS,47.810,Detaljhandel med motorvogner,AS,TRONDHEIM,7038,TRONDHEIM,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,0.0,186455.0,-186455.0,2291177.0,1005608.0,1099114.0,1099114.0,23309381.0,8944417.0,14364964.0,23294660.0,14721.0,14721.0,0.0
914947057,STORÅKEREN 15 AS,47.810,Detaljhandel med motorvogner,AS,HARSTAD,9411,HARSTAD,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,2547000.0,711691.0,1835309.0,3112.0,415647.0,1422773.0,1110448.0,12370535.0,11220467.0,1150069.0,4622184.0,7748351.0,1641314.0,6107037.0
820444612,STRADA HOLDING AS,47.810,Detaljhandel med motorvogner,AS,TRONDHEIM,7061,TRONDHEIM,False,False,2025,2025-01-01,2025-12-31,SELSKAP,store,26926571.0,25124132.0,1802439.0,1007.0,125363.0,1678083.0,1605304.0,15517178.0,2000.0,15515178.0,13353295.0,2163883.0,2163443.0,
929350758,STRAKSAS PHOTOGRAPHY,47.810,Detaljhandel med motorvogner,ENK,FRØYA,7263,HAMARVIK,False,False,,,,,,,,,,,,,,,,,,,
982362768,STRAND AUTOSALG AS,47.810,Detaljhandel med motorvogner,AS,STRAND,4120,TAU,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,95595812.0,93452739.0,2143074.0,148755.0,479593.0,1812236.0,1411444.0,26655405.0,4157600.0,22497805.0,11253157.0,15402248.0,11296324.0,4105924.0
