Navn,OrgNr,NACE_kode,NACE_beskrivelse,AntallAnsatte,aar,driftsinntekter,driftskostnad,driftsresultat,%Driftsmargin_BMRFY,finansinntekter,finanskostnader,%NettoFinansMargin_BMRFY,nettofinans,resultatFørSkatt,%ResultatFørSkatt_BMRFY,aarsresultat,%nettoresultatmargin_BMRFY,totalresultat,anleggsmidler,omlopsmidler,%likviditetsgrad_BMRFY,sumEiendeler,%ROA_BMRFY,innskuttEgenkapital,egenkapital,%egenkapitalandel_BMRFY,%ROE_BMRFY,sumGjeld,%gearing_BMRFY,%Gjeldsgrad_BMRFY,sumEgenkapitalGjeld,langsiktigGjeld,kortsiktigGjeld,omsetningPerAnsatt_BMRFY
VESTERÅLEN CARAVAN AS,984103972,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",10,2023,31539158,31765348,-226190,"-0,72 %",237844,1226193,"-3,13 %",-988349,-1214538,"-3,85 %",-1214538,"-3,85 %",-1214538,56409,20526507,"112,38 %",20582916,"-5,90 %",,2317024,"11,26 %","-52,42 %",18265891,"88,74 %","788,33 %",20582916,0,18265891,3153916
VESTERÅLEN DEKKSENTER AS,998563453,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",10,2023,9232269,8627880,604389,"6,55 %",7021,107122,"-1,08 %",-100101,504288,"5,46 %",390322,"4,23 %",,684340,1585608,"198,06 %",2269948,"17,20 %",,979898,"43,17 %","39,83 %",1290050,"56,83 %","131,65 %",2269948,489485,800565,923227
VESTFOLD ASSISTANSE AS,891036272,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",17,2023,12868463,10992662,1875801,"14,58 %",110,31631,"-0,24 %",-31521,1844280,"14,33 %",1665225,"12,94 %",,543259,2609910,"102,18 %",3153170,"52,81 %",,598879,"18,99 %","278,06 %",2554291,"81,01 %","426,51 %",3153170,0,2554291,756968
VESTFOLD ELEKTRO-DIESEL AS,991466681,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",16,2023,27042383,26625975,416408,"1,54 %",59689,175627,"-0,43 %",-115938,300470,"1,11 %",300470,"1,11 %",300470,1907790,6144190,"110,83 %",8051980,"3,73 %",,755819,"9,39 %","39,75 %",7296161,"90,61 %","965,33 %",8051980,1752467,5543694,1690149
VESTLAND LAKKSERVICE AS,928164756,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",11,2023,5343270,5312953,30317,"0,57 %",1129,15742,"-0,27 %",-14613,15704,"0,29 %",15704,"0,29 %",15704,429466,630680,"72,52 %",1060146,"1,48 %",,25385,"2,39 %","61,86 %",1034761,"97,61 %","4076,27 %",1060146,165125,869636,485752
VESTLANDSKE TRAILER AS,990942242,45.191,"Agentur- og engroshandel med andre motorvogner, unntatt motorsykler",11,2023,74325472,72890513,1434959,"1,93 %",132377,733207,"-0,81 %",-600830,834129,"1,12 %",645657,"0,87 %",645657,2336863,29403968,"161,55 %",31740831,"2,03 %",,13424453,"42,29 %","4,81 %",18316378,"57,71 %","136,44 %",31740831,115580,18200798,6756861
VESTNES SERVICESENTER AS,999668623,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",19,2023,18988864,18492124,496740,"2,62 %",17046,309841,"-1,54 %",-292795,203946,"1,07 %",159078,"0,84 %",159078,1234075,8833996,"103,87 %",10068071,"1,58 %",,436847,"4,34 %","36,42 %",9631224,"95,66 %","2204,71 %",10068071,1126732,8504492,999414
VESTVIKEN MC-SENTER AS,990748519,45.402,"Detaljhandel med motorsykler, deler og utstyr",8,2023,20685614,20052747,632867,"3,06 %",23566,541589,"-2,50 %",-518023,114844,"0,56 %",85057,"0,41 %",,136554,8843298,"242,63 %",8979852,"0,95 %",,2980683,"33,19 %","2,85 %",5999169,"66,81 %","201,27 %",8979852,2354462,3644707,2585702
VIANOR AS,935429447,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",611,2023,1485539218,1493485360,-7946142,"-0,53 %",11119570,44236740,"-2,23 %",-33117170,-41063312,"-2,76 %",-32053186,"-2,16 %",,170813693,857764621,"301,45 %",1028578314,"-3,12 %",,274033581,"26,64 %","-11,70 %",754544733,"73,36 %","275,35 %",1028578314,470000000,284544733,2431324
Vibemyr Lakkering AS,937831218,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,4552606,3969657,582949,"12,80 %",8480,1168,"0,16 %",7312,590261,"12,97 %",457431,"10,05 %",457431,150176,2443435,"98,76 %",2593611,"17,64 %",,119575,"4,61 %","382,55 %",2474036,"95,39 %","2069,02 %",2593611,0,2474036,910521
